UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"3812713"	"OVO Bikes Glasgow"	"Glasgow"	"Shawlands Railway Station - ELECTRIC"	"1"	"8455"	"9"	"9"	"E-bike station"	"54352,54458,54521 22.10.23 6:08:27:  22.10.23 6:08:27: Rack Problem 30.10.23 5:30:53:  30.10.23 5:30:53: Rack Problem 07.11.23 15:41:21:  07.11.23 15:41:21: Terminal Offline"	"8"	"8"	"1"	"13,92"	"0,00"	"smart_sign"	"0"	2023-11-25 17:55	
"19548002"	"OVO Bikes Glasgow"	"Glasgow"	"Shakespeare Street (Maryhill) - ELECTRIC"	"1"	"8427"	"0"	"2"	"E-bike station"	"54339,54525,54450,54424  "	"12"	"4"	"1"	"12,44"	"0,00"	"smart_sign"	"0"	2023-11-25 17:37	
"266157"	"OVO Bikes Glasgow"	"Glasgow"	"Glasgow Caledonian University - ELECTRIC"	"1"	"8405"	"0"	"1"	"E-bike station"	"54531,54606,54489,54529 20.06.23 16:52:44:  20.06.23 16:52:44: Rack Problem 06.08.23 4:16:37:  06.08.23 4:16:37: Rack Problem"	"6"	"6"	"1"	"13,72"	"0,00"	"smart_sign"	"1"	2023-11-25 17:27	
"105742309"	"OVO Bikes Glasgow"	"Glasgow"	"Hampden Park and Ride"	"1"	"8316"	"1"	"1"	"E-bike station"	"05.09.23 20:36:38:   05.09.23 20:36:38: Rack Problem"	"6"	"4"	"1"	""	""	"smart_sign"	"0"	2023-11-25 17:19	
"319960386"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47253"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-25 16:43	
"6269638"	"OVO Bikes Glasgow"	"Glasgow"	"Port Dundas"	"1"	"8469"	"1"	"1"	"Standard place"	""	"12"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-25 16:23	
"42613824"	"OVO Bikes Glasgow"	"Glasgow"	"Maryhill Library"	"1"	"8213"	"3"	"4"	"Standard place"	" 30.08.23 16:43:17:  30.08.23 16:43:17: Rack Problem 02.09.23 11:44:45:  02.09.23 11:44:45: Terminal Offline 21.09.23 12:14:23:  21.09.23 12:14:23: Terminal Offline"	"12"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-25 16:14	
"55600156"	"OVO Bikes Glasgow"	"Glasgow"	"Burrell Collection"	"1"	"8202"	"7"	"7"	"Standard place"	"54605,54414,53649,54495,53637,54589,53655,53628 22.06.23 23:02:23:  22.06.23 23:02:23: Rack Problem 18.07.23 15:12:35:  18.07.23 15:12:35: Rack Problem"	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-25 15:20	
"262741426"	"OVO Bikes Glasgow"	"Glasgow"	"Pollokshaws West Railway Station"	"1"	"8481"	"4"	"4"	"Standard place"	""	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-25 15:04	
"266166"	"OVO Bikes Glasgow"	"Glasgow"	"Emirates Arena"	"1"	"8428"	"4"	"4"	"Standard place"	""	"10"	"12"	"1"	""	""	"smart_sign"	"0"	2023-11-25 14:48	
"31234437"	"OVO Bikes Glasgow"	"Glasgow"	"St Rollox"	"1"	"8236"	"2"	"3"	"Standard place"	" 25.07.23 17:49:05:  25.07.23 17:49:05: Vandalism 17.08.23 15:05:18:  17.08.23 15:05:18: Rack Problem 20.08.23 17:27:10:  20.08.23 17:27:10: Terminal Offline 28.08.23 16:44:25:  28.08.23 16:44:25: Terminal Offline 04.09.23 17:46:40:  04.09.23 17:46:40: Terminal Offline"	"12"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-25 13:43	
"319863044"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829135"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-25 12:33	
"319819935"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 22410"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-25 10:31	
"55599921"	"OVO Bikes Glasgow"	"Glasgow"	"Tollcross International Swimming Centre"	"1"	"8200"	"1"	"1"	"Standard place"	""	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-25 10:17	
"31475534"	"OVO Bikes Glasgow"	"Glasgow"	"Springburn Railway Station"	"1"	"8237"	"0"	"0"	"E-bike station"	"53647,53673,54473,54184 01.05.23 21:01:40:  01.05.23 21:01:40: Rack Problem 09.06.23 1:00:38:  09.06.23 1:00:38: Rack Problem 03.09.23 11:18:03:  03.09.23 11:18:03: Rack Problem 11.09.23 21:28:21:  11.09.23 21:28:21: Rack Problem 02.10.23 16:07:35:  02.10.23 16:07:35: Vandalism 17.10.23 15:13:35:  17.10.23 15:13:35: Rack Problem"	"8"	"8"	"1"	"13,72"	"0,00"	"smart_sign"	"1"	2023-11-25 10:16	
"319772336"	"OVO Bikes Glasgow"	"Glasgow"	"Winto Dr"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-25 08:19	
"264283"	"OVO Bikes Glasgow"	"Glasgow"	"Waterloo Street - ELECTRIC"	"1"	"8402"	"0"	"1"	"E-bike station"	"54429,54568,54421,54442 04.07.23 3:03:02:  04.07.23 3:03:02: Terminal Offline 19.07.23 23:40:38:  19.07.23 23:40:38: Rack Problem"	"12"	"4"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-25 07:03	
"319653568"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47441"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-25 01:55	
"319651453"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829121"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-25 01:48	
"42446574"	"OVO Bikes Glasgow"	"Glasgow"	"Corkerhill Railway Station"	"1"	"8208"	"7"	"7"	"Standard place"	""	"8"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 21:29	
"213996907"	"OVO Bikes Glasgow"	"Glasgow"	"London Road Central"	"1"	"8474"	"0"	"0"	"Standard place"	""	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 21:07	
"40386924"	"OVO Bikes Glasgow"	"Glasgow"	"Transporter GM18"	"0"	"842020"	"0"	"0"	"Service car"	""	"0"	"0"	"0"	""	""	"none"	"0"	2023-11-24 20:44	
"319522746"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 22218"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-24 19:40	
"262743571"	"OVO Bikes Glasgow"	"Glasgow"	"Blythswood Square"	"1"	"8484"	"0"	"0"	"Standard place"	""	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 19:22	
"262742542"	"OVO Bikes Glasgow"	"Glasgow"	"Shields Road Subway"	"1"	"8482"	"4"	"4"	"Standard place"	""	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 18:25	
"115737132"	"OVO Bikes Glasgow"	"Glasgow"	"Maryland Drive"	"1"	"8209"	"6"	"6"	"Standard place"	""	"8"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 18:24	
"42487653"	"OVO Bikes Glasgow"	"Glasgow"	"Pollokshields East Railway"	"1"	"8210"	"0"	"0"	"Standard place"	" 08.08.23 11:29:56:  08.08.23 11:29:56: Rack Problem"	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-24 17:51	
"150125231"	"OVO Bikes Glasgow"	"Glasgow"	"Parkhead"	"1"	"8470"	"2"	"2"	"Standard place"	""	"6"	"0"	"1"	""	""	"smart_sign"	"0"	2023-11-24 17:10	
"4680456"	"OVO Bikes Glasgow"	"Glasgow"	"Transporter GK68"	"0"	"84640"	"0"	"6"	"Service car"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-24 16:29	
"4632646"	"OVO Bikes Glasgow"	"Glasgow"	"Workshop - ready bikes"	"0"	"84630"	"24"	"27"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-24 16:16	
"74891768"	"OVO Bikes Glasgow"	"Glasgow"	"Incoming SB - Medium Repair "	"1"	"84603"	"0"	"33"	"Standard place"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-24 15:57	
"318473539"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 22480"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-24 15:14	
"74891906"	"OVO Bikes Glasgow"	"Glasgow"	"Incoming SB - Long Repair "	"1"	"84604"	"1"	"32"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"none"	"0"	2023-11-24 12:21	
"4680463"	"OVO Bikes Glasgow"	"Glasgow"	"Scrapped off bikes"	"0"	"84650"	"1"	"107"	"Scrapped bikes"	"Scrapped due to vandalism. If due to wear&tear move bike to warranty scrap.     2018-2022 - 80                              ---------------------------------  Bikes to replace = 42 - n ( SCRAPPED bikes = 32 on 1/2/20     what about > 90 days  stolen bikes)   to date 42 replacements RECEIVED 18 bikes from EDI RBS 2018.  24 bikes from West Midlands_2019  ----------------------------------------  47418  47361  47250  47078  4 bikes moved here from waiting for spares #Gio 27.1.20   "	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-24 08:50	
"319085946"	"OVO Bikes Glasgow"	"Glasgow"	"205 St Enoch Sq, Glasgow G1 4BW"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	"unknown"	"0"	2023-11-24 00:02	
"318138670"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829263"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-23 18:48	
"318916998"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829177"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-23 16:51	
"317417687"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 828131"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-23 15:20	
"318815643"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46817"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-23 13:19	
"74892727"	"OVO Bikes Glasgow"	"Glasgow"	"Waiting for Spares - SB"	"0"	"84611"	"0"	"103"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-23 11:37	
"4680489"	"OVO Bikes Glasgow"	"Glasgow"	"Stolen bikes "	"0"	"84670"	"0"	"96"	"Stolen bikes"	"missing > 90 days go here.    When replacement bikes are added to fleet, stolen bikes are moved in to archive:  Langzeitvermisst - Long term missing Glasgow    Total stolen bikes archived to date: 206    Log of bikes moved to Replaced long term missing:  17.8.21 PW/JS - 49 bikes  5.11.21 PW - 80 bikes  7.12.21 PW - 1 bike  29.12.22 JS - 228 to LZM  16.3.22 PW - 76 bikes    Bikes move to "2018-2022 Long Term Missing" 29.12.22  228            ---------------------------------------  Replaced Smart Bikes 42 GROSS  Scrapped off inactive bikes 5  42-5= 37 replaced bikes NET for invoice : 18 on  2.5.2018 (EDI RBS 3 speed FVM2)   24 on  10.9.2019  (W Midlands, 8 speed)   27.1.20  #CW "	"0"	"0"	"0"	""	""	"none"	"0"	2023-11-23 11:11	
"262744830"	"OVO Bikes Glasgow"	"Glasgow"	"Glasgow Kelvin College East"	"1"	"8489"	"5"	"5"	"Standard place"	""	"6"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-23 06:44	
"318534861"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47619"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-23 00:13	
"318395424"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829187"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-22 17:54	
"318318634"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829161"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-22 15:14	
"317942314"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47227"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-21 22:55	
"1792085"	"OVO Bikes Glasgow"	"Glasgow"	"Co Bikes Workshop SWALLOW UNITS"	"1"	"8249"	"1"	"171"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"stele"	"0"	2023-11-21 14:35	
"317673223"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47599"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-21 12:53	
"317469077"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 21054"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-21 04:48	
"3812470"	"OVO Bikes Glasgow"	"Glasgow"	"Citizens Theatre"	"0"	""	"0"	"0"	"Individual bike"	"Station now closed due to building work in area. 17.05.2019"	"6"	"8"	"0"	""	""	"smart_sign"	"0"	2023-11-17 17:59	
"74937402"	"OVO Bikes Glasgow"	"Glasgow"	"Incoming E-Bike - Long Repair "	"0"	"84607"	"1"	"1"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-17 09:07	
"315196514"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46730"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-17 01:57	
"74892657"	"OVO Bikes Glasgow"	"Glasgow"	"Waiting for Spares - E-Bike "	"0"	"84610"	"0"	"13"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-15 17:30	
"310158303"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829084"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-14 21:12	
"309749783"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 81100"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-14 16:48	
"105742063"	"OVO Bikes Glasgow"	"Glasgow"	"Stobhill Hospital"	"1"	"8313"	"0"	"0"	"E-bike station"	""	"6"	"4"	"1"	"12,21"	"0,00"	"smart_sign"	"1"	2023-11-14 14:59	
"303889465"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 829175"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-10 05:20	
"28777901"	"OVO Bikes Glasgow"	"Glasgow"	"Workshop Accident Bikes"	"1"	"84619"	"0"	"1"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-08 12:48	
"74892144"	"OVO Bikes Glasgow"	"Glasgow"	"Incoming E-Bike - Quick Repair"	"0"	"84605"	"0"	"1"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-03 16:07	
"288360312"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46627"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-02 21:21	
"262743248"	"OVO Bikes Glasgow"	"Glasgow"	"Clyde Place Quay"	"0"	"8483"	"0"	"0"	"Standard place"	""	"6"	"10"	"0"	""	""	"smart_sign"	"0"	2023-11-01 13:31	
"74892252"	"OVO Bikes Glasgow"	"Glasgow"	"Incoming E-Bike - Medium Repair"	"0"	"84606"	"0"	"0"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-11-01 11:46	
"53725131"	"OVO Bikes Glasgow"	"Glasgow"	"Warranty Scrap"	"0"	"83125"	"1"	"12"	"nextbike storage"	"Total 2018-2022: 19     2023  ebikes:   1.0:  2.0:"	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-10-31 11:38	
"159950095"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47188"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-10-25 08:10	
"19548786"	"OVO Bikes Glasgow"	"Glasgow"	"Maxwell Park"	"0"	"8437"	"0"	"0"	"Standard place"	"Station not yet Installed DO NOT DELETE  Summer 2019 expansion  *Wpan needs to be installed"	"12"	"8"	"0"	""	""	"smart_sign"	"0"	2023-10-18 10:34	
"257627364"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 827058"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-08-31 20:40	
"12396259"	"OVO Bikes Glasgow"	"Glasgow"	"New bikes Feb 2022"	"0"	"88791"	"0"	"0"	"nextbike storage"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2023-04-19 13:41	
"43525583"	"OVO Bikes Glasgow"	"Glasgow"	"Spare station"	"0"	"8429"	"0"	"0"	"E-bike station"	"JFS 13.07.22 Station closed. Please refund customer fines until 30.07.22. Due to partner dispute we can't put up signs or remove the station currently. local service team will try and catch any service fees. "	"0"	"5"	"0"	""	""	"smart_sign"	"0"	2022-10-05 08:59	
"42614148"	"OVO Bikes Glasgow"	"Glasgow"	"Pollok Roundabout (Temporarily Shut)"	"1"	"8207"	"0"	"0"	"Standard place"	"Temporarily shut 24/6/22 Matt Chapman"	"12"	"8"	"0"	""	""	"smart_sign"	"0"	2022-10-02 16:14	
"12396344"	"OVO Bikes Glasgow"	"Glasgow"	"New ebikes 2022"	"0"	"88795"	"0"	"0"	"nextbike storage"	"Storage (Waiting for parts)"	"0"	"0"	"0"	""	""	"unknown"	"0"	2022-07-05 11:45	
"47205578"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47009"	"0"	""	"0"	"0"	"Standard place"	""	"0"	"0"	"0"	""	""	"unknown"	"0"	2021-08-08 09:44	
